Title,imdbID,tmdbId
Samurai Cop 2: Deadly Vengeance,tt3398252,284460.0
Memory Lane,tt1980185,78339.0
Julia X,tt1533058,84228.0
"Batman: The Dark Knight Returns, Part 2",tt2166834,142061.0
The Swedish Moment,tt3435570,300487.0
Fear Clinic,tt2165765,287524.0
F.C. De Kampioenen: Kampioen zijn blijft plezant,tt2671776,201386.0
Mysteries of Lisbon,tt1236371,57403.0
It Was the Son,tt1891788,121998.0
Drones,tt2179027,
Mindscape,tt0075047,
The Kingdom of Solomon,tt1706450,153779.0
Action Hero Biju,tt5320514,381374.0
The Last Light,tt2375443,273743.0
Leave the World Behind,tt12747748,
Unexpected Journey,tt5822160,439695.0
In the Dark Half,tt1764645,124501.0
The Avenue,tt6174392,443053.0
Ocean Heaven,tt1498858,54328.0
The Pig Farm,tt1345505,211220.0
The Redwood Massacre,tt3242756,339992.0
Werewolf: The Beast Among Us,tt1987028,132137.0
Miss Meadows,tt3128900,261037.0
Little Wing,tt4636254,408203.0
Baby Blues,tt0972359,
Lost Boys: The Thirst,tt1400526,46812.0
Redistributors,tt3907206,416086.0
Green Lantern: Emerald Knights,tt1683043,65291.0
Small Apartments,tt1272886,95755.0
Outpost: Black Sun,tt1418712,100183.0
Raspberry Boat Refugee,tt2965842,293491.0
Quarantine L.A.,tt2536086,184710.0
Dream Team 1935,tt2516280,144331.0
SWAT: Unit 887,tt3515632,359471.0
Moomins on the Riviera,tt2371399,293271.0
Refuge,tt2292196,180095.0
Confessions of a Brazilian Call Girl,tt1587828,58235.0
Goddess,tt1860238,179340.0
1944,tt3213684,321303.0
Any Questions for Ben?,tt1735839,88478.0
The Ultimate Accessory,tt2319018,225564.0
The Outsider,tt8550800,
What the Health,tt5541848,415086.0
Handsome Devil,tt5016946,412202.0
October 1,tt3206616,325803.0
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,tt2446192,160220.0
Calculator,tt34055634,
To Write Love on Her Arms,tt1850418,75861.0
Hell and Mr. Fudge,tt1966465,241739.0
Banking on Bitcoin,tt5033790,427451.0
F,tt1486670,53459.0
Devil's Bride,tt4771956,408194.0
On the Hook,tt5799728,
The Childhood of a Leader,tt2815902,330982.0
TimeScapes,tt2297031,112162.0
Livid,tt1727516,83900.0
Miss Representation,tt1784538,77801.0
The Mighty Angel,tt2521188,251584.0
The Mother of Invention,tt1274589,140489.0
Motivational Growth,tt1754228,224946.0
11 Minutes,tt3865478,314371.0
Silenced,tt2070649,81481.0
The Dynamiter,tt1738366,85657.0
Something Wicked,tt1327601,260947.0
The Bartender,tt9722800,
Admiral,tt1101026,13506.0
Columbus Circle,tt1465533,92000.0
Yennai Arindhaal,tt4258292,300983.0
22 Minutes,tt2856896,271234.0
Arsenal,tt5580536,388202.0
Mascots,tt4936176,368993.0
LOL,tt1592873,80271.0
Hisss,tt1244093,47655.0
Sacrifice,tt2078718,394661.0
The Games Maker,tt2766268,262788.0
Mrs. Brown's Boys D'Movie,tt3433074,262340.0
Sharktopus vs. Whalewolf,tt3292154,344147.0
The Hunter's Prayer,tt2674358,302150.0
Bad Asses on the Bayou,tt3525346,309887.0
I Am Wrath,tt3212232,332411.0
Posti in piedi in paradiso,tt1846985,93855.0
Attraction,tt4731148,401513.0
Love in Disguise,tt1646214,49704.0
Realive,tt4074928,399612.0
Hamilton: In the Interest of the Nation,tt1856014,82450.0
Security,tt3501112,460846.0
Snowtime!,tt5143700,366656.0
The Tall Man,tt1658837,86597.0
The Invisible Boy,tt3078296,303542.0
American Heist,tt2923316,250066.0
In Dubious Battle,tt4411618,337844.0
Operações Especiais,tt4058210,363925.0
The Wave,tt1063669,7735.0
7 Below,tt1988781,84577.0
The Letter,tt0032701,17801.0
The Reunion,tt2402091,202573.0
Adventures in Zambezia,tt1488181,133931.0
Vishwaroopam,tt2199711,117319.0
Veeram,tt3320578,247504.0
Blue Crush 2,tt1630626,58443.0
Re-Kill,tt1612319,106845.0
The Prince,tt1085492,241254.0
Warsaw 44,tt3765326,293982.0
Fog in August,tt4250566,380075.0
Tad: The Lost Explorer,tt1764625,121734.0
Freelancers,tt1815708,122800.0
Swelter,tt2112277,256687.0
The Ward,tt1369706,45657.0
Ragnarok,tt9251798,
Drift,tt1714833,137968.0
One Man and His Cow,tt4505208,377799.0
7aum Arivu,tt1725795,86718.0
Just Call Me Nobody,tt1825731,58365.0
Careful What You Wish For,tt1629242,317744.0
Generation War,tt1883092,178446.0
Kickboxer: Vengeance,tt3082898,308529.0
The Battalion,tt12078950,
Misconduct,tt3658772,373314.0
Search Party,tt5460226,
Special 26,tt2377938,165904.0
Forsaken,tt2271563,354110.0
Veronica Mars,tt0412253,
Faces in the Crowd,tt1536410,70577.0
Halo 4: Forward Unto Dawn,tt2262308,119431.0
Saving Santa,tt2204315,238302.0
Dead in Tombstone,tt2268419,151933.0
Laurence Anyways,tt1650048,110160.0
Automata,tt1971325,262543.0
Straight A's,tt2024506,153795.0
Into the Grizzly Maze,tt1694021,244316.0
The Coming Days,tt1545985,63077.0
Twixt,tt1756851,78381.0
Chinese Zodiac,tt1424310,98567.0
Ballerina,tt26350277,
Bait,tt1438173,118957.0
Space Pirate Captain Harlock,tt0182646,
Underdogs,tt1634003,153158.0
Shanghai,tt2072227,100681.0
Foodfight!,tt0249516,116977.0
Little Big Soldier,tt1319718,35138.0
HOUBA! On the Trail of the Marsupilami,tt1723642,102207.0
Get the Gringo,tt1567609,80389.0
Pink,tt5571734,415358.0
Grace of Monaco,tt2095649,215211.0
The Physician,tt2101473,169881.0
Sunstroke,tt4119030,301016.0
Dark Tide,tt1507563,59963.0
Wild Card,tt2231253,265208.0
