Title,imdbID,tmdbId,BoxOffice
Platon,tt1202532,71322.0,5129300
The Life of Buddha,tt1039902,68365.0,0
Sexual Predator,tt0261014,65364.0,0
Black Water,tt0816436,14138.0,1271556
Ploy,tt0993778,14234.0,0
The Thirsting,tt0765481,27696.0,0
Chainsaw Sally,tt0385592,30385.0,0
Stark Raving Mad,tt0286152,14809.0,0
Checking Out,tt0417532,54625.0,0
Pop Skull,tt1110059,27671.0,0
High Plains Invaders,tt1388432,36139.0,0
Red Canyon,tt1064801,40599.0,0
The Learning Curve,tt0219126,57743.0,0
Lie with Me,tt0418832,14174.0,0
Go Go Tales,tt0393329,50318.0,907456
Prince Among Slaves,tt0852992,309579.0,0
Speak,tt0378793,15058.0,0
Legendary Assassin,tt1236370,26010.0,0
Phileine Says Sorry,tt0314502,24285.0,0
Chill,tt0862892,52685.0,0
Malibu Shark Attack,tt1478325,53080.0,0
Prime Mover,tt1156396,123846.0,0
Decoys 2: Alien Seduction,tt0400347,18443.0,0
August Underground's Mordum,tt0410332,24837.0,0
Blood Night: The Legend of Mary Hatchet,tt1161404,47194.0,0
Wolves in the Snow,tt0312612,55012.0,0
Breaking the Maya Code,tt0496253,57000.0,0
Dead End Road,tt0439532,239628.0,0
Trailer Park Boys: Countdown to Liquor Day,tt1337032,27561.0,0
Gacy,tt0330181,27387.0,0
Blue Gold: World Water Wars,tt1137439,18046.0,0
California Dreamin',tt0449573,24220.0,0
The Breath,tt1171701,27957.0,13500000
Dagon,tt0264508,10836.0,0
Next Door,tt0453383,572.0,0
Head Trauma,tt0439194,50317.0,0
Company,tt0296574,15761.0,6000000
Elsewhere,tt0874271,28891.0,0
Batman: Gotham Knight,tt1117563,13851.0,0
The Pornographer,tt0262699,15915.0,126
Keep Your Distance,tt0337656,47540.0,0
Azzurro,tt0256627,54627.0,0
The Kid & I,tt0416891,64972.0,0
Allan Quatermain and the Temple of Skulls,tt1219671,14103.0,0
2001 Maniacs,tt0264323,10845.0,0
Breaking Point,tt0965375,32005.0,0
Make-Out with Violence,tt1284485,51122.0,0
Ip Man,tt1220719,14756.0,22100000
Camille,tt0028683,43874.0,0
Intimate Affairs,tt0243991,47237.0,0
Rain Fall,tt1206086,27944.0,0
The Badge,tt0286493,2091.0,0
Natural City,tt0378428,14573.0,0
Evilenko,tt0406754,46342.0,0
"The Tulse Luper Suitcases, Part 1: The Moab Story",tt0307596,3097.0,25800
Wendy Wu: Homecoming Warrior,tt0790781,61717.0,0
Welcome to the Sticks,tt1064932,8265.0,245144417
The Devil's Tomb,tt1147687,17577.0,0
Amusement,tt0476958,13803.0,170255
Cabin Fever 2: Spring Fever,tt0961722,28739.0,0
Open Graves,tt0870937,28499.0,0
Joe and Max,tt0281938,111744.0,0
The Magic Roundabout,tt0339334,16455.0,19273524
Bruno,tt0123003,95136.0,0
100 Feet,tt0899128,14098.0,1415804
The Curse of King Tut's Tomb,tt0464799,15056.0,0
Edges of the Lord,tt0245090,48130.0,0
Bachelor Party 2: The Last Temptation,tt0954541,14503.0,0
Godzilla vs. Megaguirus,tt0255198,39468.0,11068800
Chain of Fools,tt0194368,20682.0,0
Green Street Hooligans 2,tt1300853,15809.0,0
Triangle,tt1187064,26466.0,1594955
Walkout,tt0452703,93511.0,0
Chaos,tt0402910,5289.0,7000000
A Little Trip to Heaven,tt0420740,15124.0,0
Dragon Hunters,tt0944834,10800.0,12235843
House of the Dead 2,tt0435665,29293.0,0
Connected,tt1156506,19611.0,0
Flight of Fury,tt0783518,24351.0,0
It's Alive,tt0071675,28153.0,7100000
The Wave,tt1063669,7735.0,32350637
Adam Resurrected,tt0479341,18516.0,0
Stargate: Continuum,tt0929629,12914.0,0
The Last Trapper,tt0395514,13678.0,0
Out of Reach,tt0377100,36272.0,0
Merlin's Apprentice,tt0463826,18202.0,0
10.5,tt0364146,53870.0,0
Out for a Kill,tt0323531,30806.0,547333
On the Edge,tt0221559,80070.0,0
Trick 'r Treat,tt0862856,23202.0,27909
Assassination of a High School President,tt1018818,18176.0,69564
Incendiary,tt0984200,15705.0,0
The Big White,tt0402850,9968.0,541840
Godzilla Against Mechagodzilla,tt0314111,12636.0,16000000
Empire of the Wolves,tt0402158,10799.0,11875866
A Matador's Mistress,tt0491046,45127.0,0
Far Cry,tt0400426,7916.0,743
Ripley's Game,tt0265651,10955.0,6200000
Goodbye Bafana,tt0438859,1874.0,0
Closing the Ring,tt0488380,13957.0,0
Band of Brothers,tt0185906,331214.0,0
Monsters vs Aliens: Mutant Pumpkins from Outer Space,tt1482967,53985.0,0
Adulterers,tt4044464,376004.0,0
Tour de Force,tt3273636,285025.0,0
Cyborg X,tt3899262,397873.0,0
Mr. Hush,tt1640220,123389.0,0
Cougars Inc.,tt1198075,60302.0,0
Wedding Day,tt1562918,296472.0,0
What the Day Owes the Night,tt1934205,119193.0,0
Lapland Odyssey 2,tt3697946,366249.0,0
Rogue River,tt1560978,79550.0,0
Cupid's Balls,tt1695763,63447.0,0
State of Emergency,tt1705134,136476.0,0
The Kick,tt2020110,82469.0,517069
Zero 2,tt1592292,36618.0,0
Our Lovers,tt4631532,381707.0,0
Adolf Hitler: The Greatest Story Never Told,tt3526810,250880.0,0
Cruel Will,tt1870543,273856.0,0
Hannibal Buress: Live from Chicago,tt3596842,262199.0,0
Karbala,tt5049636,361597.0,0
In Your Eyes,tt2101569,226448.0,0
I Am I,tt1825806,80327.0,0
Kalamity,tt1109594,59111.0,0
Comment c'est loin,tt4576612,366564.0,0
Bones Brigade: An Autobiography,tt2129928,84179.0,0
My Girlfriend's Boyfriend,tt1447793,46198.0,0
The Kill Hole,tt1727373,100540.0,0
Drone,tt5352846,452068.0,0
Skinning,tt1129437,57186.0,288512
Nessuno mi pettina bene come il vento,tt3608766,264454.0,0
ThanksKilling 3,tt2106675,140750.0,0
French Women,tt3098306,273169.0,12058187
Princess and the Pony,tt1757944,55190.0,0
Lady of Csejte,tt2947556,325039.0,0
The Perfect Human Diet,tt2014248,117102.0,0
Reach Me,tt0959306,251994.0,0
12 Rounds 2: Reloaded,tt2317524,195269.0,0
The Baytown Outlaws,tt1836944,81446.0,37470
The King of Pigs,tt2086830,91088.0,13
Brothers of War,tt2942196,352539.0,0
Riley Rewind,tt2944454,232100.0,0
I Believe in Miracles,tt5098836,363683.0,0
The Adonis Factor,tt1563778,97724.0,0
Only for One Night,tt5505722,450768.0,0
Identical,tt1748051,118397.0,0
Donner Pass,tt1626139,84742.0,0
Lake Bodom,tt3743042,369202.0,0
Purge,tt1714205,135225.0,0
Antiviral,tt2099556,125490.0,0
Panjaa,tt2091384,80539.0,0
Justice League: War,tt3060952,217993.0,5155325
Dirty Lies,tt3449322,385031.0,0
Bullet,tt0115781,14469.0,0
Eat Locals,tt4401006,412758.0,0
The Scorpion King 3: Battle for Redemption,tt1781896,78049.0,0
Samurai Cop 2: Deadly Vengeance,tt3398252,284460.0,0
Memory Lane,tt1980185,78339.0,0
Julia X,tt1533058,84228.0,0
"Batman: The Dark Knight Returns, Part 2",tt2166834,142061.0,0
